channel,month,total_users,sessions,engaged_sessions,new_users,views,share_pct
Organic Search,Apr 2025,1169,1294,853,431,1480,55.56
Organic Shopping,Apr 2025,56,57,29,30,71,2.45
Organic Social,Apr 2025,962,975,342,682,1068,41.86
Organic Video,Apr 2025,3,3,3,1,4,0.13
Organic Search,May 2025,1076,1182,822,379,1417,55.44
Organic Shopping,May 2025,67,69,50,12,102,3.24
Organic Social,May 2025,856,878,375,596,933,41.18
Organic Video,May 2025,3,3,2,1,6,0.14
Organic Search,Jun 2025,1051,1162,770,403,1324,55.73
Organic Shopping,Jun 2025,59,60,42,19,118,2.88
Organic Social,Jun 2025,851,853,168,705,891,40.91
Organic Video,Jun 2025,10,10,6,5,11,0.48
Organic Search,Jul 2025,1303,1424,930,478,1690,62.37
Organic Shopping,Jul 2025,79,94,73,17,167,4.12
Organic Social,Jul 2025,749,761,170,572,835,33.33
Organic Video,Jul 2025,4,4,1,4,4,0.18
Organic Search,Aug 2025,1274,1381,864,519,1524,32.92
Organic Shopping,Aug 2025,141,154,122,24,266,3.67
Organic Social,Aug 2025,2636,2650,260,2273,2704,63.17
Organic Video,Aug 2025,10,10,5,7,9,0.24
Organic Search,Sep 2025,1518,1648,1065,600,1827,37.51
Organic Shopping,Sep 2025,81,82,43,47,88,1.87
Organic Social,Sep 2025,2638,2657,258,2319,2696,60.48
Organic Video,Sep 2025,6,6,5,3,6,0.14
Organic Search,Oct 2025,1435,1565,951,653,1773,58.95
Organic Shopping,Oct 2025,95,103,61,48,145,3.88
Organic Social,Oct 2025,971,980,211,782,1028,36.91
Organic Video,Oct 2025,7,7,4,4,7,0.26
Organic Search,Nov 2025,1212,1322,860,484,1478,73.44
Organic Shopping,Nov 2025,87,88,57,31,107,4.89
Organic Social,Nov 2025,365,372,135,248,393,20.67
Organic Video,Nov 2025,18,18,14,7,28,1.0
Organic Search,Dec 2025,885,962,589,381,1184,53.27
Organic Shopping,Dec 2025,344,424,345,69,1061,23.48
Organic Social,Dec 2025,403,413,163,249,450,22.87
Organic Video,Dec 2025,7,7,0,7,7,0.39
Organic Search,Jan 2026,1097,1155,747,467,1328,56.2
Organic Shopping,Jan 2026,438,584,506,75,1402,28.42
Organic Social,Jan 2026,301,311,120,192,337,15.13
Organic Video,Jan 2026,5,5,0,5,5,0.24
Organic Search,Feb 2026,1080,1168,728,484,1459,65.4
Organic Shopping,Feb 2026,424,500,383,118,894,28.0
Organic Social,Feb 2026,102,104,54,73,110,5.82
Organic Video,Feb 2026,11,14,10,4,16,0.78
Organic Search,Mar 2026,1311,1408,940,556,1651,71.44
Organic Shopping,Mar 2026,349,388,333,71,603,19.69
Organic Social,Mar 2026,159,166,101,74,190,8.42
Organic Video,Mar 2026,9,9,7,5,11,0.46
Organic Search,Apr 2026,1222,1341,938,514,1660,63.77
Organic Shopping,Apr 2026,445,509,409,86,674,24.2
Organic Social,Apr 2026,234,237,135,117,285,11.27
Organic Video,Apr 2026,16,16,15,4,31,0.76
