month,year_month,page_type,clicks,impressions,ctr_pct,avg_position
Apr '25,2025-04,Blogs,18,2240,0.8036,33.67
Apr '25,2025-04,Collections,22,16919,0.13,25.23
Apr '25,2025-04,Equipment,78,9511,0.8201,23.93
Apr '25,2025-04,Homepage,286,15448,1.8514,28.93
Apr '25,2025-04,Others,0,109,0.0,15.99
Apr '25,2025-04,Pages,19,2354,0.8071,12.21
May '25,2025-05,Blogs,20,3672,0.5447,34.77
May '25,2025-05,Collections,30,30168,0.0994,27.98
May '25,2025-05,Equipment,70,11941,0.5862,23.12
May '25,2025-05,Homepage,246,30177,0.8152,39.21
May '25,2025-05,Others,0,85,0.0,15.66
May '25,2025-05,Pages,13,2093,0.6211,10.77
Jun '25,2025-06,Blogs,19,6867,0.2767,31.29
Jun '25,2025-06,Collections,26,38893,0.0669,26.28
Jun '25,2025-06,Equipment,67,13075,0.5124,21.55
Jun '25,2025-06,Homepage,269,21639,1.2431,26.87
Jun '25,2025-06,Others,1,70,1.4286,12.77
Jun '25,2025-06,Pages,11,2260,0.4867,12.58
Jul '25,2025-07,Blogs,41,11531,0.3556,28.43
Jul '25,2025-07,Collections,29,37985,0.0763,24.42
Jul '25,2025-07,Equipment,85,24269,0.3502,18.58
Jul '25,2025-07,Homepage,290,28034,1.0345,22.4
Jul '25,2025-07,Others,0,234,0.0,26.23
Jul '25,2025-07,Pages,16,6532,0.2449,12.13
Aug '25,2025-08,Blogs,68,20770,0.3274,24.38
Aug '25,2025-08,Collections,50,32565,0.1535,29.62
Aug '25,2025-08,Equipment,97,21223,0.4571,23.51
Aug '25,2025-08,Homepage,279,25590,1.0903,24.88
Aug '25,2025-08,Others,0,216,0.0,14.0
Aug '25,2025-08,Pages,8,2696,0.2967,16.28
Sep '25,2025-09,Blogs,57,17722,0.3216,16.93
Sep '25,2025-09,Collections,65,45289,0.1435,17.39
Sep '25,2025-09,Equipment,131,20555,0.6373,16.09
Sep '25,2025-09,Homepage,337,25305,1.3318,17.68
Sep '25,2025-09,Others,0,284,0.0,10.62
Sep '25,2025-09,Pages,4,2697,0.1483,9.67
Oct '25,2025-10,Blogs,36,7620,0.4724,11.12
Oct '25,2025-10,Collections,27,26732,0.101,11.88
Oct '25,2025-10,Equipment,147,15257,0.9635,11.51
Oct '25,2025-10,Homepage,329,14325,2.2967,13.52
Oct '25,2025-10,Others,0,348,0.0,6.45
Oct '25,2025-10,Pages,20,2813,0.711,5.45
Nov '25,2025-11,Blogs,34,7900,0.4304,10.87
Nov '25,2025-11,Collections,31,27656,0.1121,11.98
Nov '25,2025-11,Equipment,92,16219,0.5672,11.99
Nov '25,2025-11,Homepage,299,16792,1.7806,12.83
Nov '25,2025-11,Others,0,208,0.0,6.43
Nov '25,2025-11,Pages,8,2769,0.2889,6.9
Dec '25,2025-12,Blogs,21,9304,0.2257,16.34
Dec '25,2025-12,Collections,26,19656,0.1323,14.01
Dec '25,2025-12,Equipment,96,13984,0.6865,14.94
Dec '25,2025-12,Homepage,202,15103,1.3375,13.94
Dec '25,2025-12,Others,0,65,0.0,8.69
Dec '25,2025-12,Pages,10,2674,0.374,6.53
Jan '26,2026-01,Blogs,38,12898,0.2946,13.04
Jan '26,2026-01,Collections,25,7345,0.3404,23.99
Jan '26,2026-01,Equipment,108,15705,0.6877,16.89
Jan '26,2026-01,Homepage,253,16235,1.5584,16.17
Jan '26,2026-01,Others,0,93,0.0,10.1
Jan '26,2026-01,Pages,11,1851,0.5943,9.08
Feb '26,2026-02,Blogs,56,18486,0.3029,10.73
Feb '26,2026-02,Collections,35,11564,0.3027,16.04
Feb '26,2026-02,Equipment,178,34902,0.51,12.55
Feb '26,2026-02,Homepage,203,20091,1.0104,12.9
Feb '26,2026-02,Others,0,82,0.0,9.9
Feb '26,2026-02,Pages,8,1565,0.5112,12.92
Mar '26,2026-03,Blogs,105,32409,0.324,7.48
Mar '26,2026-03,Collections,54,20713,0.2607,19.55
Mar '26,2026-03,Equipment,167,27312,0.6115,11.29
Mar '26,2026-03,Homepage,295,27504,1.0726,10.67
Mar '26,2026-03,Others,0,128,0.0,7.13
Mar '26,2026-03,Pages,11,1680,0.6548,10.25
Apr '26,2026-04,Blogs,65,23776,0.2734,7.65
Apr '26,2026-04,Collections,45,10355,0.4346,21.99
Apr '26,2026-04,Equipment,150,45860,0.3271,5.95
Apr '26,2026-04,Homepage,232,16321,1.4215,12.21
Apr '26,2026-04,Others,0,130,0.0,6.77
Apr '26,2026-04,Pages,7,1721,0.4067,9.55
