month,year_month,clicks,impressions,ctr_pct,avg_position
Apr '25,2025-04,419,30124,1.3909,31.43
May '25,2025-05,373,46368,0.8044,37.23
Jun '25,2025-06,386,42707,0.9038,29.47
Jul '25,2025-07,455,55090,0.8259,27.46
Aug '25,2025-08,500,73183,0.6832,29.26
Sep '25,2025-09,592,65391,0.9053,20.51
Oct '25,2025-10,555,32869,1.6885,13.74
Nov '25,2025-11,460,35537,1.2944,13.55
Dec '25,2025-12,353,37544,0.9402,16.86
Jan '26,2026-01,431,46540,0.9261,17.09
Feb '26,2026-02,474,79829,0.5938,12.57
Mar '26,2026-03,628,100629,0.6241,10.76
Apr '26,2026-04,496,78100,0.6351,9.82
